"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"1";"";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";
"3";"100nF";"CAP_CERAMIC";"CAP-PTH-5MM";"C2, C4, C6";"";"";"";"";"";"";
"3";"10k";"RESISTOR";"AXIAL-0.3";"R4, R5, R6";"";"";"";"";"";"";
"3";"10uF";"CAP_POL";"CPOL-RADIAL-2.5MM-5MM-KIT";"C1, C3, C5";"";"";"";"";"";"";
"1";"1N4001";"1N4001";"CASE59−10-AXIAL";"D1";"";"";"";"";"";"";
"1";"23k";"RESISTOR";"AXIAL-0.3";"R3";"";"";"";"";"";"";
"2";"28k";"RESISTOR";"AXIAL-0.3";"R1, R2";"";"";"";"";"";"";
"1";"CONN1";"MICRO-FIT_3.0_43650";"MICRO-FIT_43560_3MM";"BTN";"";"";"";"";"";"";
"1";"CONN2";"MICRO-FIT_3.0_43650";"MICRO-FIT_43560_3MM";"SOUT";"";"";"";"";"";"";
"1";"CONN3";"MICRO-FIT_3.0_43650";"MICRO-FIT_43560_3MM";"12VIN";"";"";"";"";"";"";
"1";"FEATHERWING_NODIM";"FEATHERWING_NODIM";"FEATHER";"FEATHERM0";"";"";"";"";"";"";
"1";"IRLB872";"IRLB872";"TO-220-ALT";"MOSFET";"";"";"";"";"";"";
"3";"KWL-R1230CDUGB";"KWL-R1230CDUGB";"SEGMENT_BICOL_BL-AR12Z3010";"BAR1, BAR2, BAR3";"";"";"";"";"";"";
"1";"L7805CV";"L7805CV";"TO-220-ALT";"VREG";"";"";"";"";"";"";
"1";"LOGIC LVL CONV";"3-5V_LOGIC_LVL_CONV";"3-5V_LOGIC_LVL_CONV";"CONV";"";"";"";"";"";"";
"3";"MAX7219";"MAX7219CNG";"DIL24-3";"IC1, IC2, IC3";"LED DISPLAY DRIVER";"MAXIM";"MAX7219CNG";"1523914";"34C4018";"";
"1";"ROTARY SWITCH";"MRB_ROTARY_SWITCH";"MRB24B_SP3T";"SW1";"";"";"";"";"";"";
"10";"SEV-SEG_7503";"SEV-SEG_7503";"HDSP-7503-C";"SEV1, SEV2, SEV3, SEV4, SEV5, SEV6, SEV7, SEV8, SEV9, SEV10";"";"";"";"";"";"";
